lecture_id,r_id,degree
105,241,0.3099531723
105,519,0.3099531723
105,762,0.272803399
105,443,0.2696644298
106,592,0.3055883099
106,160,0.1884427346
106,88,0.1806686257
106,279,0.1432931753
106,23,0.143179759
106,131,0.143179759
106,205,0.143179759
106,329,0.143179759
106,575,0.143179759
107,356,0.2481338779
107,466,0.178441187
107,176,0.1744862208
107,213,0.1744862208
107,620,0.1712079247
107,309,0.1659563748
107,325,0.1540837284
107,187,0.1518041595
107,672,0.1404501807
108,23,0.9981173128
108,131,0.9981173128
108,205,0.9981173128
108,329,0.9981173128
108,575,0.9981173128
108,33,0.9280890257
108,57,0.9280890257
108,560,0.8014096027
108,26,0.697713364
109,18,0.4781184542
109,391,0.1730553703
109,263,0.172874782
109,622,0.1589503157
109,177,0.156326691
109,609,0.1455675916
109,387,0.1432452854
109,230,0.1413593999
109,316,0.130213872
110,331,0.9742524068
110,597,0.9742524068
110,584,0.3423514923
110,41,0.2194061876
110,720,0.1930621548
110,712,0.1887183601
110,531,0.1818186552
110,366,0.1756281087
110,275,0.1732466527
111,365,0.2072510536
111,610,0.2072510536
111,695,0.198400198
111,96,0.1922670597
111,185,0.1734702051
111,109,0.1146406009
111,347,0.09565915116
111,359,0.09155781751
111,609,0.08996659197
112,159,0.2916153371
112,454,0.2819869592
112,366,0.2810233833
112,37,0.2463476189
112,584,0.2185261927
112,531,0.1992513012
112,303,0.192329168
112,718,0.1892193152
112,501,0.1828285542
113,656,0.5543470782
113,573,0.1684482651
113,616,0.1684482651
113,81,0.1599085029
113,755,0.154290585
113,212,0.1539417577
113,184,0.1536534721
113,48,0.1484388599
113,661,0.147229142
114,645,0.7219700643
114,290,0.2831247096
114,382,0.2755134041
114,190,0.2533621425
114,665,0.2425152007
114,89,0.2333389073
114,446,0.2254266192
114,314,0.2253619502
114,620,0.2252243216
115,352,0.3315613536
115,65,0.3192728472
115,291,0.240989179
115,416,0.1909728281
115,268,0.1888559377
115,13,0.1880149899
115,394,0.1798791725
115,381,0.1791422222
115,745,0.1791422222
116,300,0.2484992562
116,134,0.2345324589
116,279,0.1976643369
116,528,0.1926028208
116,536,0.180251399
116,496,0.1696644588
116,379,0.1588678636
116,212,0.1379541711
116,88,0.1306865628
117,74,0.4109849098
117,480,0.3843995458
117,314,0.2998041356
117,318,0.2768824968
117,633,0.2768824968
117,445,0.2160048009
117,527,0.2160048009
117,710,0.2028438145
117,182,0.1972995168
118,464,0.7616136842
118,638,0.4277073494
118,399,0.3679438773
118,518,0.362430073
118,602,0.3055647975
118,496,0.2529410257
118,198,0.2513802589
118,128,0.2344819062
118,273,0.187919247
119,510,0.2614310807
119,132,0.2115272995
119,203,0.1775816871
119,500,0.1775816871
119,129,0.1621073291
119,451,0.1621073291
119,345,0.1512712804
119,418,0.1500044572
119,680,0.1484974769
120,385,0.2210743839
120,635,0.2210743839
120,202,0.1295897516
120,339,0.1213313678
120,448,0.1209108356
120,726,0.1074384167
120,538,0.1028704562
120,203,0.1014984329
120,500,0.1014984329
121,90,0.2884134695
121,19,0.2589158762
121,591,0.2372578542
121,756,0.2164484257
121,585,0.2075891115
121,609,0.1942897954
121,637,0.1870828952
121,452,0.185289843
121,370,0.1625947273
122,484,0.2181634108
122,19,0.1920208076
122,333,0.1801341062
122,90,0.1664921043
122,121,0.1548701703
122,303,0.1391377636
122,52,0.1304145732
122,158,0.1302427543
122,748,0.1289677384
123,347,0.740018755
123,695,0.3784796798
123,185,0.3732184922
123,318,0.3157215048
123,633,0.3157215048
123,235,0.3045073355
123,443,0.1966675273
123,34,0.1897206363
123,362,0.1897206363
124,288,0.7048284952
124,227,0.6262551958
124,763,0.4441997254
124,69,0.3505723878
124,552,0.3505723878
124,463,0.2983011728
124,337,0.2616891676
124,342,0.2616891676
124,321,0.2545802385
125,261,0.9481276177
125,372,0.9481276177
125,631,0.8938939192
125,709,0.8938939192
125,435,0.8860376407
125,535,0.8860376407
125,1,0.1827102306
125,524,0.1814503152
125,406,0.1620410125
126,164,0.2477193894
126,124,0.1287761335
126,446,0.1285055897
126,290,0.1163853824
126,242,0.1142325097
126,288,0.1136500011
126,401,0.1106468443
126,198,0.110515283
126,171,0.1065914657
127,209,0.323670265
127,193,0.3211282112
127,195,0.3016557889
127,726,0.2650808687
127,339,0.2256747928
127,274,0.2220476175
127,529,0.2220476175
127,733,0.1813644256
127,236,0.1811773558
128,474,0.5113346049
128,97,0.4719954458
